image,kernel,correct_key,mse,psnr
antimeme.png,Gaussian,True,0.005413976428696648,22.66483639387319
antimeme.png,Motion,True,0.01068480601487149,19.712333581452686
antimeme.png,Box,True,0.006688233215244292,21.746885916803123
antimeme.png,RandomSeed,True,0.010946061862965878,19.607421017198433
antimeme.png,RandomSeed,False,0.01671494158127113,17.768951369281837
antimeme.png,KeyImage,True,0.006028047344791363,22.198233453585857
antimeme.png,KeyImage,False,0.013795967180895678,18.602478474427205
this_is_fine.png,Gaussian,True,0.010648623916779959,19.72706510907114
this_is_fine.png,Motion,True,0.013903004574572907,18.56891334339448
this_is_fine.png,Box,True,0.011940029430183583,19.22994602741777
this_is_fine.png,RandomSeed,True,0.016220622727739022,17.899324767568395
this_is_fine.png,RandomSeed,False,0.03778725420072343,14.226546648122518
this_is_fine.png,KeyImage,True,0.008686332434339056,20.611635537860927
this_is_fine.png,KeyImage,False,0.030775394511667914,15.11796371113389
save_me.png,Gaussian,True,0.005570101704455866,22.541368749733593
save_me.png,Motion,True,0.011052214283246197,19.565507034579127
save_me.png,Box,True,0.006315546699303671,21.995890491919184
save_me.png,RandomSeed,True,0.010798160710564308,19.666502131500263
save_me.png,RandomSeed,False,0.019096206906896264,17.19052888406596
save_me.png,KeyImage,True,0.005423954721225946,22.65683944584171
save_me.png,KeyImage,False,0.015270092428846383,18.161583341802213
